,Allpowers,Power Name,Status,Type,Store,Xats1,Xats2,Days1,Days2,Hug,Group,Game,Epic,Limited,Unlimited,Everypower
39,1,Hairf,Unlimited,User Power,200 xats,130,160,10,12,,,,,,1,1
38,1,Hairm,Unlimited,User Power,150 xats,95,120,7,9,,,,,,1,1
37,1,Hands,Unlimited,User Power,300 xats,180,235,14,18,,,,,,1,1
36,1,Ttth,Unlimited,User Power,400 xats,235,245,18,19,,,,,,1,1
35,,Purple,Unlimited,User Power,25000 xats,21000,22000,1615,1692,,,,1,,1,1
34,,Diamond,Limited,User Power,820 xats,315,350,24,27,,,,,1,,1
33,1,Sinbin,Unlimited,User Power,300 xats,175,185,13,14,,,,,,1,1
32,1,Guestself,Unlimited,User Power,250 xats,140,190,11,15,,,,,,1,1
30,1,Pink,Unlimited,User Power,500 xats,350,390,27,30,,,,,,1,1
29,1,Invisible,Unlimited,User Power,40 days,300,360,23,28,,,,,,1,1
28,1,Superkick,Unlimited,User Power,15 days,115,130,9,10,,,,,,1,1
27,1,Show,Unlimited,User Power,50 xats,30,40,2,3,,,,,,1,1
26,1,Octogram,Unlimited,User Power,150 xats,85,90,7,7,,,,,,1,1
25,,Boot,Limited,User Power,15240 xats,5500,5800,423,446,,,,,1,,1
24,,Clear,Limited,User Power,5600 xats,4500,4600,346,354,,,,,1,,1
23,1,Hexagon,Unlimited,User Power,100 xats,50,65,4,5,,,,,,1,1
22,1,Cycle,Unlimited,User Power,500 xats,350,365,27,28,,,,,,1,1
21,1,Nameglow,Unlimited,User Power,400 xats,375,385,29,30,,,,,,1,1
20,1,Square,Unlimited,User Power,100 xats,50,75,4,6,,,,,,1,1
19,1,Animate,Unlimited,User Power,400 xats,355,375,27,29,,,,,,1,1
18,1,Shuffle,Unlimited,User Power,25 xats,10,15,1,1,,,,,,1,1
17,,Heart,Limited,User Power,664 xats,350,450,27,35,,,,,1,,1
16,1,Light,Unlimited,User Power,150 xats,130,145,10,11,,,,,,1,1
15,1,Blue,Unlimited,User Power,150 xats,130,145,10,11,,,,,,1,1
14,1,Green,Unlimited,User Power,150 xats,130,145,10,11,,,,,,1,1
13,1,Red,Unlimited,User Power,150 xats,130,145,10,11,,,,,,1,1
12,1,Hat,Unlimited,User Power,100 xats,80,90,6,7,,,,,,1,1
11,1,Tempmod,Unlimited,User Power,50 days,425,450,33,35,,,,,,1,1
10,1,Nopc,Unlimited,User Power,200 xats,110,150,8,12,,,,,,1,1
9,1,Reghide,Unlimited,User Power,100 xats,70,75,5,6,,,,,,1,1
8,1,Noaudies,Unlimited,User Power,10 xats,5,8,0,1,,,,,,1,1
7,1,Mirror,Unlimited,User Power,100 xats,60,80,5,6,,,,,,1,1
6,1,Invert,Unlimited,User Power,200 xats,100,150,8,12,,,,,,1,1
5,1,Nofollow,Unlimited,User Power,100 xats,65,75,5,6,,,,,,1,1
4,1,Zoom,Unlimited,User Power,300 xats,265,275,20,21,,,,,,1,1
3,1,Mod8,Unlimited,User Power,500 xats,350,365,27,28,,,,,,1,1
2,1,Subhide,Unlimited,User Power,100 xats,60,75,5,6,,,,,,1,1
1,1,Topman,Unlimited,User Power,200 xats,120,150,9,12,,,,,,1,1
